book,dimension,value,discovery_n,discovery_roi_pct,discovery_roi_ci_low,confirmation_n,confirmation_roi_pct,confirmation_roi_ci_low,confirmation_roi_ci_high
Avg,odds_bucket,1.5-2,1515,-4.586798679867987,-9.554983498349836,964,-8.78630705394191,-15.131327800829874,-2.0960062240663913
Avg,side,favorite,1273,-5.74076983503535,-9.690907305577376,730,-3.6369863013698627,-8.570239726027395,1.4660273972602729
Avg,elo_diff_bucket,50-150,1434,-6.668758716875872,-12.700366108786612,789,-14.759188846641319,-22.306717363751584,-6.982921419518381
Avg,rank_gap_bucket,10-30,863,-5.41946697566628,-13.57007531865585,455,-19.863736263736264,-30.303461538461534,-9.103296703296703
Avg,Court,Indoor,615,-4.448780487804878,-14.494918699186993,329,-15.31914893617021,-27.78776595744681,-2.2608662613981774
Avg,elo_diff_bucket,<50,894,-6.805369127516779,-14.824496644295301,527,-6.204933586337762,-15.609250474383298,3.358349146110047
Avg,surface,Hard,1832,-9.22052401746725,-15.092358078602619,1117,-11.717099373321396,-18.906289167412716,-4.138384064458372
Avg,Series,Masters 1000,659,-7.022761760242792,-15.941160849772382,298,-1.0973154362416098,-15.454781879194632,13.258892617449664
Avg,Round,1st Round,2643,-11.290957245554292,-16.49618804388952,1460,-13.189041095890412,-19.843561643835617,-6.902328767123291
Avg,rank_gap_bucket,<10,451,-5.669623059866964,-16.761640798226164,199,18.934673366834172,-0.14133165829145863,39.61846733668341
Avg,Court,Outdoor,2974,-12.254539340954942,-17.02573974445192,1620,-12.891358024691357,-19.24012345679012,-6.536219135802473
Avg,rank_gap_bucket,80+,1018,-9.813359528487227,-18.68887524557957,549,-15.479052823315117,-26.57745901639345,-3.3338797814208023
Avg,surface,Grass,547,-7.0457038391224875,-18.79021937842779,299,-23.391304347826086,-39.13085284280937,-5.454096989966558
Avg,Series,Grand Slam,775,-7.243870967741936,-18.904935483870965,436,-34.44266055045871,-46.720871559633025,-21.251777522935786
Avg,Series,ATP250,1498,-12.620827770360481,-19.087650200267024,870,-6.6000000000000005,-13.571494252873562,0.9865517241379287
Avg,side,underdog,2316,-13.762089810017272,-19.94407383419689,1219,-19.08859721082855,-27.326415094339623,-10.65182526661198
Avg,odds_bucket,<1.5,2074,-15.540983606557374,-21.680822082931535,985,-17.719796954314724,-26.550076142131978,-8.08213197969543
Avg,elo_diff_bucket,150-300,966,-13.726708074534164,-21.821946169772257,479,-20.23590814196242,-29.876983298538622,-10.168736951983313
Avg,surface,Clay,1210,-15.235537190082644,-22.54082644628099,533,-10.960600375234522,-20.81050656660413,-0.7306285178236471
Avg,Round,2nd Round,884,-14.5079185520362,-22.858597285067873,462,-20.476190476190474,-30.22700216450216,-10.717424242424249
Avg,rank_gap_bucket,30-80,1257,-17.46778042959427,-24.109546539379476,746,-16.29490616621984,-24.73890750670241,-7.933176943699739
Avg,Series,ATP500,625,-19.1952,-27.73584,334,-19.341317365269457,-32.3187125748503,-6.110254491017968
Avg,elo_diff_bucket,300+,295,-34.8271186440678,-52.86906779661016,154,-8.545454545454547,-43.747402597402605,31.664285714285707
Pinnacle,odds_bucket,1.5-2,1716,-1.5903263403263403,-6.548659673659675,1089,-4.267217630853994,-10.479292929292932,1.468135904499536
Pinnacle,side,favorite,1512,-3.6249999999999996,-7.501521164021165,848,-3.3419811320754715,-8.196344339622643,2.017688679245277
Pinnacle,elo_diff_bucket,50-150,1647,-1.7656344869459624,-7.873284760170007,925,-8.829189189189188,-16.391648648648648,-1.7626486486486526
Pinnacle,rank_gap_bucket,10-30,1015,-0.37635467980295517,-7.923423645320198,525,-10.632380952380954,-20.93204761904762,0.08266666666666043
Pinnacle,Series,Masters 1000,757,-1.1638044914134733,-10.020772787318363,343,4.903790087463559,-9.769897959183675,19.983673469387746
Pinnacle,elo_diff_bucket,<50,999,-4.216216216216217,-11.574199199199201,600,-0.36833333333333373,-9.638541666666667,8.618416666666665
Pinnacle,surface,Grass,644,-0.9891304347826081,-11.629076086956523,338,-10.926035502958582,-31.26656804733728,13.355103550295858
Pinnacle,Court,Outdoor,3413,-8.023732786404922,-12.820055669498972,1889,-8.152991000529381,-14.441860772895708,-1.8018528321863454
Pinnacle,surface,Hard,2117,-7.171941426547,-12.952527161076995,1305,-8.218390804597702,-15.428946360153256,-1.0017049808429153
Pinnacle,Round,1st Round,3032,-8.530343007915567,-13.415888852242745,1691,-7.756357185097578,-14.763985807214667,-0.7007983441750517
