book,dimension,value,n_bets,roi_pct,roi_ci_low,roi_ci_high
Pinnacle,rank_gap_bucket,80+,372,8.78494623655914,-8.013239247311827,27.03098118279569
Bet365,rank_gap_bucket,80+,331,7.691842900302113,-9.438519637462235,26.394637462235643
Pinnacle,side,underdog,709,-0.4851904090268002,-12.315726375176306,11.901798307475307
Pinnacle,elo_diff_bucket,150-300,340,1.8705882352941163,-12.93044117647059,19.0551470588235
Pinnacle,Court,Outdoor,1003,-4.217347956131605,-13.217871385842475,5.1446909272183445
Pinnacle,odds_bucket,<1.5,729,-2.124828532235941,-13.702194787379973,9.754766803840875
Pinnacle,Round,1st Round,926,-5.008639308855292,-13.938525917926567,3.7216252699784
Pinnacle,surface,Hard,736,-5.202445652173914,-14.157778532608692,4.528532608695651
Pinnacle,elo_diff_bucket,50-150,521,-4.637236084452975,-15.061900191938578,6.117370441458732
Avg,rank_gap_bucket,80+,321,-0.7102803738317761,-16.547897196261683,16.804750778816192
Avg,elo_diff_bucket,150-300,288,-2.177083333333332,-16.967361111111114,14.20572916666666
Bet365,Court,Outdoor,911,-8.98463227222832,-17.41761800219539,0.3403951701426934
Avg,side,favorite,459,-10.875816993464053,-17.52467320261438,-4.186764705882355
Bet365,Round,1st Round,831,-8.731648616125149,-17.752677496991577,0.9631167268351365
Bet365,side,favorite,443,-10.64334085778781,-17.787866817155756,-3.904006772009034
Pinnacle,surface,Grass,291,-1.8659793814432997,-17.83926116838488,15.289261168384877
Pinnacle,Series,Grand Slam,305,1.754098360655737,-17.939262295081964,23.20426229508196
Bet365,elo_diff_bucket,50-150,472,-7.084745762711862,-18.112341101694916,3.969491525423721
Pinnacle,side,favorite,535,-11.629906542056075,-18.17397196261682,-5.28214953271028
Pinnacle,odds_bucket,1.5-2,515,-9.741747572815534,-18.60470873786408,-1.6541262135922348
Bet365,odds_bucket,<1.5,630,-7.722222222222223,-18.65984126984127,4.059682539682533
Avg,Round,1st Round,827,-10.079806529625152,-18.714993954050783,-0.8824365175332595
Bet365,surface,Hard,647,-10.768160741885623,-19.191808346213296,-2.2251931993817657
Bet365,Series,ATP500,199,-4.663316582914572,-19.216080402010046,11.158793969849231
Pinnacle,Series,ATP250,496,-7.955645161290323,-19.283266129032256,2.9013608870967733
Pinnacle,Series,ATP500,222,-5.995495495495497,-19.792567567567566,8.027364864864865
Bet365,elo_diff_bucket,150-300,299,-4.949832775919732,-19.88344481605351,10.897408026755851
Bet365,side,underdog,668,-8.94011976047904,-20.275636227544908,3.89150449101796
Avg,Court,Outdoor,896,-11.802455357142858,-20.511746651785714,-3.36456473214286
Bet365,odds_bucket,1.5-2,481,-12.103950103950101,-20.668035343035342,-3.3357588357588397
Avg,surface,Hard,643,-12.505443234836703,-20.98351477449456,-3.6189735614307925
Bet365,surface,Grass,265,-4.615094339622641,-21.128490566037733,13.33188679245281
Avg,surface,Grass,258,-4.422480620155039,-21.199903100775195,13.047674418604643
Avg,elo_diff_bucket,50-150,472,-11.154661016949152,-21.3500529661017,-0.3744173728813824
Avg,odds_bucket,1.5-2,473,-12.78646934460888,-21.582346723044395,-4.336099365750529
Avg,odds_bucket,<1.5,621,-11.164251207729466,-22.214371980676326,0.19939613526569386
Pinnacle,Court,Indoor,241,-9.692946058091286,-22.555601659751037,3.66804979253112
Bet365,Series,ATP250,440,-11.429545454545455,-22.916249999999998,0.6136931818181818
